Name	Key	Frames	X	Y	Size
{angry}	[0]	1	0	0	0.125
{anguished}	[1]	1	0.125	0	0.125
{astonished}	[2]	1	0.25	0	0.125
{blush}	[3]	1	0.375	0	0.125
{confounded}	[4]	1	0.5	0	0.125
{confused}	[5]	1	0.625	0	0.125
{cry}	[6]	1	0.75	0	0.125
{disappointed}	[7]	1	0.875	0	0.125
{dizzyface}	[8]	1	0	0.125	0.125
{dizzy}	[9]	4	0.125	0.125	0.125
{flushed}	[A]	1	0.625	0.125	0.125
{frowning}	[B]	1	0.75	0.125	0.125
{imp}	[C]	1	0.875	0.125	0.125
{kissingheart}	[D]	1	0	0.25	0.125
{scream}	[E]	1	0.125	0.25	0.125
{smile}	[F]	1	0.25	0.25	0.125
{yum}	[G]	1	0.375	0.25	0.125
